"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"","","","гр. София","ж.к. Слатина, бл. 18, вх. В","1995-04-09T00:00:00","39-НА","","Ариадна Генадиева Вакъвчиева","","42.6592758","23.373935"
"","","","гр. Разград","ул. Коста Петров 2","1995-04-09T00:00:00","42-НА","","ОРБ - Разград  ръководител Виолета Христова Петрова","","43.5315607","26.5349563"
"","","","гр. София","кв. Симеоново, ул. Крайречна 10","1995-09-27T00:00:00","63-НА","","Гергана Асенова Влаина - Абдала","","42.6134505","23.3381745"
"","","","гр. Пловдив","ул. Генерал Гурко 25","1995-10-18T00:00:00","80-НА","","Виолета Йорданова Колева","","42.1443217","24.7511184"
"","","","гр. Кочериново","ул. Георги Димитров 109","1995-10-25T00:00:00","83-НА","","Рени Костадинова Апостолова","","42.0845882","23.0557885"
"","","","гр. Пловдив","бул. 6-ти септември 237","1995-10-25T00:00:00","90-НА","","Иванка Генова Дончева","","42.1519059","24.7750751"
"","","","гр. Сопот","..................................","1995-09-27T00:00:00","97-НА","","ОБ Иван Раев - Сопот  ръководител Любов Николова Караиванова","","42.6538885","24.7548019"
"","","","гр. София","ул. Георг Вашингтон 53","1995-11-17T00:00:00","114-НА","","Красимира Асенова Божилова","","42.7040037","23.322276"
"","","","гр. София","ул. Гоце Делчев, бл. 1, вх. Б","1995-12-29T00:00:00","129-НА","","Стефанка Тодорова Петрова","","42.7148608","23.2678212"
"","","","гр. Търговище","кв. Запад","1996-02-29T00:00:00","200-НА","","ОРБ - Търговище  ръководител Пенка Славчева Ненова","","43.2493556","26.5727357"
"","","","гр. София","кв. Драгалевци, ул. Крайречна 2","1996-02-29T00:00:00","217-НА","","Цветан Иванов Диков","","42.6335808","23.3102908"
"","","","гр. Карнобат","ул. Георги Димитров 12","1996-03-28T00:00:00","247-НА","","Виолета Кънева Карастоянова","","42.6511052","26.9803527"
"","","","гр. Пловдив","ул. Божидар Здравков 9 А","1996-03-28T00:00:00","252-НА","","Кожно-венерологичен диспансер  ръководител Златина Христова Антонова","","42.1468908","24.7452311"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-ДЕВИН ЕАД","гр. Девин 4800","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура, с изключение на лекарствени форми за очи и разтвори за парентерално приложение","гр. Девин","ул. Явор № 3","2014-04-25T00:00:00","253-НА-1","ул. Явор № 3","Бистра Деянова Шилева","","41.7429109","24.3915387"
"","","","гр. София","бул. Никола Петков 56","1996-05-17T00:00:00","263-НА","","Републикански център по протезиране  и възстановителна хирургия  ръководител Йорданка Стефанова Бозарова","","42.6744376","23.247545"
"","","","гр. Рудозем","ул. Александър Македонски 3","1996-05-17T00:00:00","266-НА","","Венетка Илиева Георгиева","","41.4870546","24.847786"
"","","","гр. София","ул. Суходолска 2, бл. 2, вх. Б, ап. 3","1996-05-20T00:00:00","269-НА","","Снежанка Игнатова Велева","","42.7007308","23.278879"
"","","","гр. Бургас","кв. Меден рудник, ул. Тодор Грудов 18","1996-05-20T00:00:00","288-НА","","Юлия Колева Писарова - Андонова","","42.4573859","27.4046834"
"","","","гр. Сливен","ул. Хаджи Димитър 37","1996-04-06T00:00:00","302-НА","","Марияна Атанасова Стефанова","","42.6760044","26.3235313"
"","","","гр. Пловдив","ул. Васил Априлов 7","1996-06-21T00:00:00","325-НА","","Първа общинска болница - Пловдив  ръководител Камелия Йорданова Илиева","","42.1377516","24.7396406"
"","","","гр. София","ж.к. Младост 1, бл. 44 А","1996-06-21T00:00:00","327-НА","","Свободка Станкова Бояджиева","","42.6510371","23.3779537"
"","","","гр. Свиленград","ул. Хан Аспарух 81","1996-06-21T00:00:00","331-НА","","Кера Александрова Стоянова","","41.7654876","26.2019433"
"","","","гр. София","ж.к. Люлин, бл. 911, вх. В","1996-06-21T00:00:00","336-НА","","Мария Любенова Занкова","","42.7152649","23.2665321"
"","","","гр. Севлиево","ул. Стефан Пешев 174","1996-06-21T00:00:00","339-НА","","ОБ Д-р Стойчо Христов  ръководител Лидия Петкова Кривошиева","","43.0272963","25.0988173"
"","","","гр. София","ж.к. Дианабад, ул. Кирил Цонев, бл. 36, вх. 1","1996-06-21T00:00:00","344-НА","","Нако Николов Наков","","42.6631885","23.3500698"
"","","","гр. София","ул. Луи Айер 59","1996-07-16T00:00:00","368-НА","","Цветанка Стоименова Димитрова","","42.6596983","23.3004038"
"","","","гр. София","ж.к. Толстой, бл. 34, вх. И, ап. 146","1996-07-16T00:00:00","375-НА","","Дора Иванова Коцева","","42.728627","23.3109892"
"","","","гр. София","кв. Лозенец, ул. 438-ма 8","1996-07-16T00:00:00","387-НА","","Лиляна Милкова Иванова","","42.6977082","23.3218675"
"","","","гр. София","ул. Баба Неделя 4","1996-07-22T00:00:00","394-НА","","Минка Петкова Парапанова","","42.6847341","23.3172058"
"","","","гр. София","бул. Столетов 98","1996-07-22T00:00:00","409-НА","","Любка Петрова Георгиева","","42.711264","23.3111329"
"","","","гр. София","ул. Вихрен 39-А, вх. А","1996-09-20T00:00:00","453-НА","","Марийка Любенова Тошева","","42.66552069999999","23.2728738"
"","","","гр. Трън","ул. Атанас Ботев 5","1996-10-28T00:00:00","486-НА","","ОБ - Трън  ръководител Наталия Иванова Борисова","","42.8343426","22.6503696"
"","","","гр. София","ул. Димчо Дебелянов 16","1996-10-28T00:00:00","499-НА","","Цеца Георгиева Медарова","","42.6722132","23.3539343"
"","","","гр. София","бул. Черни връх 46","1996-10-28T00:00:00","514-НА","","Санда Иванова Симеонова","","42.66404259999999","23.3170705"
"","","","гр. София","ж.к. Дружба, бл. 114, вх. А","1996-10-28T00:00:00","515-НА","","Диана Бориславова Станкова","","42.6658304","23.390043"
"","","","гр. Симитли","ул. Васил Левски 2","1996-11-25T00:00:00","525-НА","","Община Симитли с ЕООД Общински аптеки   ръководител Емилия Трайкова Люнгова","","41.8896733","23.10602"
"","","","гр. Златоград","ул. Беловидово 33","1996-11-25T00:00:00","536-НА","","Община Златоград с ЕООД Аптека Прима   ръководител Надя Славчева Мангарудова","пом.-фарм.","41.3794359","25.0922801"
"","","","с. Габарево","обл. Хасково","1996-11-25T00:00:00","540-НА","","Община Павел баня с ЕООД Алтея   ръководител Ганка Станчева Куцарова","пом.-фарм.","41.9344178","25.5554672"
"","","","гр. Чепеларе","ул. Васил Дечев 33","1996-11-25T00:00:00","550-НА","","Община Чепеларе с ЕООд Чепеларе фарм   ръководител Стефка Йоакимова Минкова","","41.7177727","24.6874218"
"","","","гр. Ябланица","ул. Кирил и Методий 1","1996-12-27T00:00:00","564-НА","","Община Ябланица с ЕООД Драгойца   ръководител Людмила Асенова Теодорова","","43.0323483","24.0991868"
"","","","гр. Смолян","ул. Родопи 102","1997-01-20T00:00:00","620-НА","","Община Смолян с ЕООД Смолян-фарма   ръководител Донка Йорданова Манолева","","41.5683898","24.7369144"
"","","","гр. Ивайловград","ул. Оборище 10","1997-01-20T00:00:00","626-НА","","ОБ - Ивайловград  ръководител Зюмбюлка Н. Атанасова","","41.52669789999999","26.1242717"
"","","","с. Беглеж","общ. Плевен","1997-01-24T00:00:00","652-НА","","Община Плевен с ЕООД Галена   ръководител Надежда Илиева Гъркова","пом.-фарм.","43.2484668","24.4813866"
"","","","с. Руен","ул. Камчия","1997-07-02T00:00:00","680-НА","","Антон Недялков Авджиев","","49.44323199999999","1.099971"
"","","","гр. Вършец","ул. Република 83","1997-10-02T00:00:00","703-НА","","Община Вършец с ЕООД Фарма - Вършец   ръководител Теменужка Маринова Бабоева","пом.-фарм.","43.194142","23.2868475"
